,User_ID,User_Name,Text,Location,Followers_Count,Friends_Count,Statuses_Count,Favourites_Count,Listed_Count,Retweet_Count,Created_at,verified,Label
702,1.567109655071019e+18,Aspire Solutions,"08: Over the years, she has done it time &amp; time again.  Standard Bank Top Woman in IT winner, Mushfiqoh Samodien co… https://t.co/ELVVW6W2CJ",Cape Town,24.0,22.0,169.0,31.0,1.0,1.0,Tue Mar 10 06:34:39 +0000 2020,0.0,WomanInTech
703,1.5671078486849454e+18,Tamara McCleary,"Seven tips for #womenintech from female execs who’ve been there, done that https://t.co/5APCipmsZf #leadership https://t.co/jR8OdX3oyP","Boulder, CO",304330.0,201902.0,119240.0,133688.0,8096.0,13.0,Fri Jan 24 03:50:40 +0000 2014,1.0,WomanInTech
704,1.5671067415311892e+18,Clare Dibble,@KameronHurley Following you has made my life better… more entertaining and more normalized as a woman in tech.,"Arvada, CO & Würselen, Germany",66.0,584.0,106.0,4432.0,1.0,0.0,Mon Sep 17 14:52:40 +0000 2012,0.0,WomanInTech
705,1.5671019082504028e+18,Wild Digital,"""32 out of 50 percent of tech startup are woman."" - shares Roshni Mahtani Cheung - Founder &amp; Group CEO (The Parenti… https://t.co/MjwEfAJ2KU",Asia Pacific,1033.0,850.0,2148.0,673.0,11.0,0.0,Wed Jun 11 12:07:59 +0000 2014,0.0,WomanInTech
706,1.5670965058439741e+18,James Clegg,"Delighted to see @beverleywhite, CEO Nash Squared, shortlisted https://t.co/CtmWUpVUrx’s Top 50 Most Influential Wo… https://t.co/rSMsALN1C5",The past and the future ,215.0,296.0,2644.0,791.0,9.0,0.0,Thu Jan 06 11:50:38 +0000 2011,0.0,WomanInTech
707,1.5670902484751974e+18,EQL:HER,"Are you a Ukrainian woman in the UK working in the tech industry or looking to work in the tech industry? 😎
 
Why n… https://t.co/2HlwKWzWVq","London, England",4262.0,1500.0,1782.0,2434.0,61.0,1.0,Mon Apr 03 08:35:44 +0000 2017,0.0,WomanInTech
708,1.567090248265392e+18,London Tech Week,"Are you a Ukrainian woman in the UK working in the tech industry or looking to work in the tech industry? 😎
 
Why n… https://t.co/JCk7f0wLrD","London, UK",29348.0,4286.0,14190.0,6760.0,696.0,0.0,Tue Jun 18 20:00:22 +0000 2013,1.0,WomanInTech
709,1.5670893114508165e+18,Nomalili,@MaMpila_Omhle @NangamsoXoxo @moks2204 woman in tech 😭😭😭😭😭,Lekhekhe Night Club,2887.0,1260.0,66417.0,11363.0,14.0,0.0,Sun Apr 03 18:04:49 +0000 2011,0.0,WomanInTech
710,1.5670848703330427e+18,Richard Ramos (he/him/his),"Delighted to see @Bev White, CEO @Nash Squared shortlisted for @ComputerWeekly.com’s Top 50 Most Influential Woman… https://t.co/wYPnxy3ktR",London,151.0,501.0,469.0,16.0,1.0,0.0,Fri Oct 07 09:42:18 +0000 2011,0.0,WomanInTech
711,1.567080520571396e+18,Testimony 'Akanbi' Ageh,@Tianakayy Woman in tech. 🙌🏾,"Winning, Possible",854.0,682.0,11378.0,30437.0,0.0,0.0,Sat Sep 05 12:47:19 +0000 2015,0.0,WomanInTech
712,1.5670779027929334e+18,Forward Role,Read about one woman’s quest to bring new people and perspectives into the #tech industry ⬇️… https://t.co/uDFtyeAzjI,"Manchester, England",9072.0,9892.0,17937.0,3537.0,425.0,0.0,Wed Dec 15 12:23:15 +0000 2010,0.0,WomanInTech
713,1.5670739012214866e+18,mike kaswatuka,So what did Manivel do with all the mullas she accidentally received (with thanks)? https://t.co/OkfdMsJGf6 ...,"Arlington, TX",4013.0,4956.0,58483.0,19996.0,261.0,0.0,Sat Apr 12 19:16:14 +0000 2014,0.0,WomanInTech
