,Statuses_Count,Followers_Count,Friends_Count,Label,Decision
822,3527,21,160,WomanInTech,Tier 4
826,8533,68,82,WomanInTech,Tier 4
835,1543,45,170,WomanInTech,Tier 4
905,1397,24,78,WomanInTech,Tier 4
910,1209,10,65,WomanInTech,Tier 4
941,2845,15,39,WomanInTech,Tier 4
951,1292,49,120,WomanInTech,Tier 4
963,2271,49,253,WomanInTech,Tier 4
965,6429,42,145,WomanInTech,Tier 4
966,2891,67,204,WomanInTech,Tier 4
975,3235,232,68,WomanInTech,Tier 4
987,1502,64,50,WomanInTech,Tier 4
996,1397,24,78,WomanInTech,Tier 4
1,7670,156,338,WomanInTech,Tier 1
3,1377,448,551,WomanInTech,Tier 1
6,1665,239,509,WomanInTech,Tier 1
11,2641,273,766,WomanInTech,Tier 1
12,2333,161,673,WomanInTech,Tier 1
20,3901,377,139,WomanInTech,Tier 1
22,5011,293,783,WomanInTech,Tier 1
26,2493,498,358,WomanInTech,Tier 1
34,1986,377,765,WomanInTech,Tier 1
36,1995,61,466,WomanInTech,Tier 1
61,2896,413,418,WomanInTech,Tier 1
67,4787,215,427,WomanInTech,Tier 1
84,3926,514,741,WomanInTech,Tier 1
93,1132,388,526,WomanInTech,Tier 1
101,5190,109,217,WomanInTech,Tier 1
114,2667,332,405,WomanInTech,Tier 1
138,3830,204,89,WomanInTech,Tier 1
140,6164,219,133,WomanInTech,Tier 1
153,1376,488,766,WomanInTech,Tier 1
155,2787,341,587,WomanInTech,Tier 1
174,6490,238,662,WomanInTech,Tier 1
180,2844,179,561,WomanInTech,Tier 1
182,1296,331,416,WomanInTech,Tier 1
210,1929,217,837,WomanInTech,Tier 1
211,7367,80,220,WomanInTech,Tier 1
219,1553,377,772,WomanInTech,Tier 1
222,8328,505,266,WomanInTech,Tier 1
242,1828,508,419,WomanInTech,Tier 1
250,1376,319,827,WomanInTech,Tier 1
252,1908,287,140,WomanInTech,Tier 1
254,3383,455,270,WomanInTech,Tier 1
290,6154,324,70,WomanInTech,Tier 1
296,3720,415,505,WomanInTech,Tier 1
321,6746,126,680,WomanInTech,Tier 1
322,2931,141,294,WomanInTech,Tier 1
333,3763,511,590,WomanInTech,Tier 1
350,1745,141,332,WomanInTech,Tier 1
356,5048,308,505,WomanInTech,Tier 1
371,2782,120,387,WomanInTech,Tier 1
376,3568,547,802,WomanInTech,Tier 1
388,7351,533,914,WomanInTech,Tier 1
393,5886,450,596,WomanInTech,Tier 1
394,5702,274,345,WomanInTech,Tier 1
443,4874,187,142,WomanInTech,Tier 1
465,7525,446,379,WomanInTech,Tier 1
515,1822,135,645,WomanInTech,Tier 1
543,2837,186,700,WomanInTech,Tier 1
558,1095,86,483,WomanInTech,Tier 1
563,1655,182,158,WomanInTech,Tier 1
570,6629,169,177,WomanInTech,Tier 1
571,5534,254,765,WomanInTech,Tier 1
588,6490,238,662,WomanInTech,Tier 1
593,7054,254,434,WomanInTech,Tier 1
606,1264,415,670,WomanInTech,Tier 1
623,3291,128,539,WomanInTech,Tier 1
626,2561,273,384,WomanInTech,Tier 1
639,3522,111,294,WomanInTech,Tier 1
644,3522,111,294,WomanInTech,Tier 1
668,3806,152,253,WomanInTech,Tier 1
684,2983,147,144,WomanInTech,Tier 1
685,7650,441,412,WomanInTech,Tier 1
686,1506,405,505,WomanInTech,Tier 1
691,1907,118,333,WomanInTech,Tier 1
706,2644,215,296,WomanInTech,Tier 1
719,1253,303,809,WomanInTech,Tier 1
732,1561,262,196,WomanInTech,Tier 1
733,3096,82,488,WomanInTech,Tier 1
736,4715,471,482,WomanInTech,Tier 1
746,6490,238,662,WomanInTech,Tier 1
781,2432,339,76,WomanInTech,Tier 1
796,2979,285,864,WomanInTech,Tier 1
807,3124,440,519,WomanInTech,Tier 1
830,6389,502,889,WomanInTech,Tier 1
873,1376,532,99,WomanInTech,Tier 1
881,6456,433,693,WomanInTech,Tier 1
884,8318,219,246,WomanInTech,Tier 1
893,2818,159,350,WomanInTech,Tier 1
894,7340,281,256,WomanInTech,Tier 1
895,4607,211,897,WomanInTech,Tier 1
898,3704,84,401,WomanInTech,Tier 1
902,1043,171,406,WomanInTech,Tier 1
927,3324,222,274,WomanInTech,Tier 1
942,8141,149,208,WomanInTech,Tier 1
950,4011,68,889,WomanInTech,Tier 1
952,2309,87,409,WomanInTech,Tier 1
959,1218,208,558,WomanInTech,Tier 1
962,6490,238,662,WomanInTech,Tier 1
981,3804,305,232,WomanInTech,Tier 1
986,2171,337,282,WomanInTech,Tier 1
998,4476,114,916,WomanInTech,Tier 1
1000,7363,490,649,WomanInTech,Tier 1
866,1713,1,76,WomanInTech,Tier 3
1195,1160,43,93,MenInTech,Tier 3
1199,2920,20,244,MenInTech,Tier 3
1205,1125,32,140,MenInTech,Tier 3
1222,2168,33,91,MenInTech,Tier 3
1238,7531,12,91,MenInTech,Tier 3
1247,4924,31,236,MenInTech,Tier 3
1249,2908,3,194,MenInTech,Tier 3
1271,4461,15,99,MenInTech,Tier 3
1276,2963,13,116,MenInTech,Tier 3
1296,1165,36,148,MenInTech,Tier 3
1314,1946,39,116,MenInTech,Tier 3
1320,2165,18,309,MenInTech,Tier 3
1383,2661,20,46,MenInTech,Tier 3
1384,2077,24,163,MenInTech,Tier 3
1397,3102,5,163,MenInTech,Tier 3
1431,1925,22,11,MenInTech,Tier 3
1437,1355,11,120,MenInTech,Tier 3
1451,4043,12,994,MenInTech,Tier 3
1476,2918,1,12,MenInTech,Tier 3
1518,1252,2,12,MenInTech,Tier 3
1519,1091,19,107,MenInTech,Tier 3
1531,2047,28,43,MenInTech,Tier 3
1538,3155,10,25,MenInTech,Tier 3
1541,7600,35,70,MenInTech,Tier 3
1545,1347,34,224,MenInTech,Tier 3
1555,7216,14,11,MenInTech,Tier 3
1592,2007,17,165,MenInTech,Tier 3
1620,8106,49,56,MenInTech,Tier 3
1642,2058,31,73,MenInTech,Tier 3
1710,2274,6,41,MenInTech,Tier 3
1726,2463,11,68,MenInTech,Tier 3
1771,2152,20,122,MenInTech,Tier 3
1783,1031,1,10,MenInTech,Tier 3
1785,1031,1,10,MenInTech,Tier 3
1798,1221,12,37,MenInTech,Tier 3
1818,2170,45,55,MenInTech,Tier 3
1828,1154,11,48,MenInTech,Tier 3
1830,1154,11,48,MenInTech,Tier 3
1831,4594,37,215,MenInTech,Tier 3
1843,7159,50,110,MenInTech,Tier 3
1848,2664,20,674,MenInTech,Tier 3
1897,2870,38,53,MenInTech,Tier 3
1916,5756,7,10,MenInTech,Tier 3
1919,4301,6,58,MenInTech,Tier 3
1924,5554,1,13,MenInTech,Tier 3
1935,1855,6,142,MenInTech,Tier 3
1941,5427,15,19,MenInTech,Tier 3
1969,3519,29,48,MenInTech,Tier 3
1989,1317,41,167,MenInTech,Tier 3
